ticker,p-value,h
CSX,0.6913400634364848,0.7900056846373456
GGG,0.6857552058817589,0.6943666003479616
EXPD,0.6997350565150848,0.6081703262133062
NKE,0.17154563155778607,0.6439561852565056
UTMD,0.503945210254145,0.6130035997525447
JJSF,0.5331646099083495,0.64570159734113
STE,0.24650288440372625,0.7190100263278945
FDX,0.4477595423764171,0.6256538722362317
ISCA,0.3898966849004231,0.4964592493985722
VSEC,0.3806063816146344,0.6438746566055168
FDS,0.41263345798452794,0.6434061314941201
COLM,0.7166502607482071,0.6405968442686258
LMNR,0.21966503338174698,0.6344545458825053
ROST,0.39545322517725034,0.7108797248389409
RNR,0.2672285642749895,0.6801685149438446
COST,0.10028106978232304,0.7276994681410185
MNRO,0.3076716332583659,0.5891549625462413
JBHT,0.4879233922320166,0.5887149501146881
ZTS,0.0393271294274533,0.8208790191838339
WYND,0.30573559103728276,0.6022813779664762
XYL,0.7786117185238395,0.7138907692986196
ZION,0.82463698155665,0.7042078376796784
WOR,0.5114016140419346,0.6197356076763587
WPP,0.6346963912595491,0.5718101343726884
WSFS,0.8664233786586022,0.6417381548606216
WSBC,0.6911380685053428,0.6078790117152543
WTBA,0.5221773373132126,0.558009709531161
WAB,0.149999159006572,0.5182394135989505
WLKP,0.1316440673047975,0.5741942910675292
WY,0.25190738991058503,0.5716166794017244
WHR,0.17684345914946048,0.5110688130833035
WMPN,0.3618983813615584,0.6545880769611021
WLTW,0.34261024942657126,0.6540721922179767
WINA,0.3928892081229888,0.6931930655452689
WTFC,0.8029173877903646,0.6703243368783814
WDFN,0.5341492436616548,0.5495729288928225
WEN,0.33918521350821673,0.716170043801583
WBS,0.7819797895751247,0.6221343437293907
WRI,0.03753891442841292,0.5002742177376456
WEBK,0.10280869214876803,0.7408106816382916
WFC,0.05809665292558669,0.4965450579218458
WDFC,0.615812328883968,0.6989652541783583
WSO,0.6137382807236689,0.58901407719367
WTS,0.18179401204206497,0.6500800512727597
WASH,0.7504299224680232,0.5830941728213388
WCN,0.8882010680256658,0.8385144701073203
