Date,Open,High,Low,Close,Adj Close,Volume
2007-03-08,4.942240,4.978240,4.928400,4.958850,3.795894,107279438
2007-03-09,4.978240,5.041920,4.889640,5.041920,3.859482,162524745
2007-03-12,5.080680,5.097290,4.992080,5.005920,3.831925,155912424
2007-03-13,5.030840,5.030840,4.922860,4.922860,3.768345,110328102
2007-03-14,4.803800,4.900710,4.781650,4.814880,3.685688,159752710
2007-03-15,4.922860,4.986540,4.859180,4.925630,3.770466,194810559
2007-03-16,4.925630,4.950550,4.859180,4.928400,3.772585,107956364
2007-03-19,4.994850,5.005920,4.953320,4.983770,3.814970,50704637
2007-03-20,4.975470,5.041920,4.958850,5.033610,3.853121,72733171
2007-03-21,5.036380,5.091760,5.030840,5.066840,3.878559,62071879
2007-03-22,5.144360,5.185890,5.116670,5.138820,3.933658,108548015
2007-03-23,5.144360,5.327100,5.113910,5.277260,4.039630,183654678
2007-03-26,5.288340,5.343710,5.147130,5.177590,3.963336,128198999
2007-03-27,5.241270,5.260650,5.196970,5.219120,3.995125,107617596
2007-03-28,5.205270,5.244040,5.158210,5.163740,3.952734,85116133
2007-03-29,5.205270,5.246810,5.185890,5.241270,4.012081,73592395
2007-03-30,5.266190,5.288340,5.224660,5.224660,3.999367,93691760
2007-04-02,5.246810,5.310490,5.216350,5.299410,4.056585,64002330
2007-04-03,5.343710,5.374170,5.329870,5.346480,4.092617,61514984
2007-04-04,5.371400,5.385240,5.277260,5.296640,4.054465,79946893
2007-04-05,5.307720,5.349250,5.266190,5.299410,4.056585,76637257
2007-04-10,5.343710,5.343710,5.310490,5.324330,4.075662,41572022
2007-04-11,5.304950,5.352020,5.268960,5.285570,4.045991,67685982
2007-04-12,5.263420,5.293880,5.244040,5.280030,4.041750,69331655
2007-04-13,5.335410,5.407390,5.324330,5.399090,4.132888,104498759
2007-04-16,5.443390,5.523680,5.432310,5.507070,4.215545,93843250
2007-04-17,5.476610,5.518140,5.462770,5.498760,4.209185,72554311
2007-04-18,5.509840,5.562450,5.454460,5.548600,4.247335,91060668
2007-04-19,5.493230,5.584600,5.493230,5.579060,4.270652,115212857
2007-04-20,5.617820,5.700880,5.617820,5.664890,4.336353,98879055
2007-04-23,5.720260,5.786710,5.687040,5.756260,4.406295,110853886
2007-04-24,5.761800,5.808870,5.747950,5.808870,4.446567,111086137
2007-04-25,5.847630,6.041440,5.844860,5.974990,4.573728,0
2007-04-26,6.035900,6.055280,5.911310,6.027600,4.614000,174245900
2007-04-27,6.030370,6.052520,5.988830,6.049750,4.630955,84065350
2007-04-30,6.027600,6.088510,6.013750,6.022060,4.609759,69290456
2007-05-02,6.071900,6.071900,6.016520,6.024830,4.611879,58857751
2007-05-03,6.077440,6.088510,5.933460,5.983300,4.580090,108408909
2007-05-04,5.963920,6.071900,5.936230,6.058050,4.637309,81482666
2007-05-07,6.077440,6.082970,5.983300,5.994370,4.588563,69374563
2007-05-08,5.972220,5.997140,5.819940,5.847630,4.476236,121501033
2007-05-09,5.905770,5.930690,5.753490,5.786710,4.429604,166930016
2007-05-10,5.814400,5.828250,5.723030,5.723030,4.380858,88786667
2007-05-11,5.678730,5.764560,5.598440,5.734110,4.389339,139407607
2007-05-14,5.797790,5.853170,5.767330,5.786710,4.429604,124810677
2007-05-15,5.803330,5.853170,5.767330,5.800560,4.440206,179775690
2007-05-16,5.825480,5.869780,5.795020,5.836550,4.467755,66858775
2007-05-17,5.883620,5.883620,5.819940,5.844860,4.474116,151854226
2007-05-18,5.839320,5.939000,5.839320,5.919620,4.531343,98525623
2007-05-21,5.889160,5.936230,5.855930,5.903000,4.640118,47981161
2007-05-22,5.894700,5.897470,5.803330,5.808870,4.566127,49638302
2007-05-23,5.814400,5.839320,5.781180,5.817170,4.572651,55747897
2007-05-24,5.786710,5.814400,5.689810,5.698110,4.479063,71794741
2007-05-25,5.687040,5.692580,5.639970,5.651050,4.442070,57304043
2007-05-28,5.664890,5.673200,5.606750,5.634430,4.429007,47242897
2007-05-29,5.651050,5.819940,5.648280,5.803330,4.561772,145719768
2007-05-30,5.772870,5.800560,5.709190,5.767330,4.533474,90988470
2007-05-31,5.844860,5.903000,5.839320,5.891930,4.631417,97153201
2007-06-01,5.916850,5.966680,5.889160,5.947300,4.674941,60017370
2007-06-04,5.891930,5.969450,5.814400,5.858700,4.605296,80694957
2007-06-05,5.883620,5.911310,5.789480,5.789480,4.550885,76016969
2007-06-06,5.795020,5.803330,5.576290,5.584600,4.389837,117562094
2007-06-07,5.634430,5.703650,5.512610,5.606750,4.407248,172698295
2007-06-08,5.540290,5.598440,5.509840,5.531990,4.348482,124906601
2007-06-11,5.634430,5.662120,5.579060,5.623360,4.420305,52641304
2007-06-12,5.606750,5.651050,5.565210,5.601210,4.402894,42249497
2007-06-13,5.556910,5.687040,5.548600,5.662120,4.450772,84478726
2007-06-14,5.759030,5.825480,5.709190,5.817170,4.572651,99649395
2007-06-15,5.833780,5.941770,5.786710,5.900230,4.637941,117786194
2007-06-18,5.936230,6.010980,5.894700,5.980530,4.701062,90987661
2007-06-19,5.999910,6.066360,5.958380,5.999910,4.716295,110612337
2007-06-20,6.058050,6.082970,5.961150,5.974990,4.696707,76267854
2007-06-21,5.911310,5.972220,5.875320,5.955610,4.681473,89700798
2007-06-22,5.994370,6.016520,5.925150,5.952840,4.679296,54000409
2007-06-25,5.897470,6.013750,5.897470,6.013750,4.727175,63916541
2007-06-26,5.980530,6.019290,5.908540,5.911310,4.646651,90447799
2007-06-27,5.933460,6.030370,5.880850,6.030370,4.740240,97176381
2007-06-28,6.088510,6.166040,6.074670,6.121740,4.812061,110678511
2007-06-29,6.160500,6.160500,6.052520,6.110660,4.803352,69748885
2007-07-02,6.130040,6.210340,6.094050,6.210340,4.881707,84395461
2007-07-03,6.271250,6.312780,6.262940,6.312780,4.962231,75826884
2007-07-04,6.362620,6.387540,6.293400,6.298940,4.951351,77477665
2007-07-05,6.340470,6.359850,6.215870,6.235250,4.901288,127955240
2007-07-06,6.285090,6.489980,6.279550,6.481670,5.094989,176501929
2007-07-09,6.528740,6.642260,6.520440,6.611810,5.197287,148301773
2007-07-10,6.633960,6.639490,6.426300,6.453990,5.073230,163720200
2007-07-11,6.390310,6.578580,6.362620,6.501060,5.110229,192932312
2007-07-12,6.545360,6.575810,6.487210,6.575810,5.168989,93549993
2007-07-13,6.645030,6.669950,6.489980,6.489980,5.101521,113598678
2007-07-16,6.498290,6.523210,6.401380,6.451220,5.071053,107368420
2007-07-17,6.423530,6.523210,6.401380,6.481670,5.094989,130715650
2007-07-18,6.451220,6.473370,6.390310,6.390310,5.023174,65959232
2007-07-19,6.434610,6.506590,6.434610,6.467830,5.084110,51022906
2007-07-20,6.478910,6.506590,6.368160,6.368160,5.005763,71154473
2007-07-23,6.387540,6.506590,6.379230,6.506590,5.114577,103049068
2007-07-24,6.503820,6.564740,6.063590,6.193720,4.868642,233047571
2007-07-25,6.121740,6.188190,6.055280,6.091280,4.788118,153946565
2007-07-26,6.102350,6.135580,5.781180,5.781180,4.544360,172858312
2007-07-27,5.711960,5.930690,5.684270,5.817170,4.572651,188180703
2007-07-30,5.883620,5.958380,5.833780,5.944530,4.672763,113192356
2007-07-31,6.027600,6.099590,5.966680,6.027600,4.738062,113608061
2007-08-01,5.822710,5.908540,5.786710,5.814400,4.570474,119855956
2007-08-02,5.911310,5.927920,5.662120,5.673200,4.459482,120606952
2007-08-03,5.703650,5.747950,5.609510,5.653810,4.444240,89134884
2007-08-06,5.570750,5.645510,5.567980,5.617820,4.415949,75681321
2007-08-07,5.703650,5.711960,5.376940,5.473840,4.302773,150330184
2007-08-08,5.584600,5.645510,5.498760,5.645510,4.437716,134636993
2007-08-09,5.675960,5.739650,5.507070,5.537530,4.352837,141380459
2007-08-10,5.399090,5.421240,5.122210,5.230190,4.111249,188075447
2007-08-13,5.316030,5.448930,5.277260,5.448930,4.283191,142195545
2007-08-14,5.385240,5.620590,5.363090,5.509840,4.331071,134745211
2007-08-16,5.288340,5.349250,5.144360,5.180360,4.072080,166926671
